#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NSSDC
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data
#     DATA_TYPE                       HRO>Definitive 5minute
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux
#     DATA_VERSION                    1
#     TITLE                           Near-Earth Heliosphere Data (OMNI)
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    
#     MODS                            created November 2006;
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
#                                     Time tags in CDAWeb version were modified in March 2005 to use the
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's
#                                     original convention of start-of-average time tags.
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01
#     PI_NAME                         J.H. King, N. Papatashvilli
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC
#     GENERATION_DATE                 Ongoing
#     ACKNOWLEDGEMENT                 NSSDC
#     ADID_REF                        NSSD0110
#     RULES_OF_USE                    Public
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Magnetic Fields (space)
#                                     Electric Fields (space)
#     GENERATED_BY                    King/Papatashvilli
#     TIME_RESOLUTION                 5 minute
#     LOGICAL_SOURCE                  omni_hro_5min
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             
#     LINK_TEXT                       Additional information for all parameters are available from
#                                     Additional data access options available at
#                                     Recent omni high resolution updates
#     LINK_TITLE                      OMNI Data documentation
#                                     SPDF's OMNIWeb Service
#                                     Release Notes
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                                     ACE
#                                     Wind
#                                     IMP (All)
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01
#                                     omni_hro_5min_19930401_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch Time
#  2. AE - 5-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2018/059)
#  3. SYM/H - 5-minute SYM/H index,from WDC Kyoto (1981/001-2020/213)
#
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,5-M_AE_nT,SYM/H_INDEX_nT
1993-04-04T00:00:00.000Z,48,1
1993-04-04T00:05:00.000Z,53,1
1993-04-04T00:10:00.000Z,58,2
1993-04-04T00:15:00.000Z,51,2
1993-04-04T00:20:00.000Z,56,3
1993-04-04T00:25:00.000Z,49,4
1993-04-04T00:30:00.000Z,42,4
1993-04-04T00:35:00.000Z,38,4
1993-04-04T00:40:00.000Z,39,4
1993-04-04T00:45:00.000Z,42,4
1993-04-04T00:50:00.000Z,42,4
1993-04-04T00:55:00.000Z,41,3
1993-04-04T01:00:00.000Z,43,3
1993-04-04T01:05:00.000Z,43,2
1993-04-04T01:10:00.000Z,45,1
1993-04-04T01:15:00.000Z,43,1
1993-04-04T01:20:00.000Z,55,0
1993-04-04T01:25:00.000Z,54,-1
1993-04-04T01:30:00.000Z,59,-1
1993-04-04T01:35:00.000Z,65,-1
1993-04-04T01:40:00.000Z,56,-1
1993-04-04T01:45:00.000Z,62,0
1993-04-04T01:50:00.000Z,67,0
1993-04-04T01:55:00.000Z,76,1
1993-04-04T02:00:00.000Z,96,3
1993-04-04T02:05:00.000Z,105,2
1993-04-04T02:10:00.000Z,105,2
1993-04-04T02:15:00.000Z,95,2
1993-04-04T02:20:00.000Z,90,3
1993-04-04T02:25:00.000Z,86,2
1993-04-04T02:30:00.000Z,85,2
1993-04-04T02:35:00.000Z,99,1
1993-04-04T02:40:00.000Z,123,1
1993-04-04T02:45:00.000Z,114,0
1993-04-04T02:50:00.000Z,133,0
1993-04-04T02:55:00.000Z,134,0
1993-04-04T03:00:00.000Z,134,0
1993-04-04T03:05:00.000Z,136,0
1993-04-04T03:10:00.000Z,126,1
1993-04-04T03:15:00.000Z,108,1
1993-04-04T03:20:00.000Z,100,2
1993-04-04T03:25:00.000Z,86,2
1993-04-04T03:30:00.000Z,84,3
1993-04-04T03:35:00.000Z,79,3
1993-04-04T03:40:00.000Z,62,4
1993-04-04T03:45:00.000Z,76,4
1993-04-04T03:50:00.000Z,82,4
1993-04-04T03:55:00.000Z,87,4
1993-04-04T04:00:00.000Z,73,3
1993-04-04T04:05:00.000Z,76,4
1993-04-04T04:10:00.000Z,82,4
1993-04-04T04:15:00.000Z,94,5
1993-04-04T04:20:00.000Z,80,5
1993-04-04T04:25:00.000Z,61,6
1993-04-04T04:30:00.000Z,71,5
1993-04-04T04:35:00.000Z,73,5
1993-04-04T04:40:00.000Z,76,5
1993-04-04T04:45:00.000Z,81,5
1993-04-04T04:50:00.000Z,87,4
1993-04-04T04:55:00.000Z,80,4
1993-04-04T05:00:00.000Z,76,4
1993-04-04T05:05:00.000Z,82,3
1993-04-04T05:10:00.000Z,76,2
1993-04-04T05:15:00.000Z,76,2
1993-04-04T05:20:00.000Z,88,2
1993-04-04T05:25:00.000Z,98,-1
1993-04-04T05:30:00.000Z,86,-1
1993-04-04T05:35:00.000Z,73,-1
1993-04-04T05:40:00.000Z,71,-1
1993-04-04T05:45:00.000Z,74,0
1993-04-04T05:50:00.000Z,85,0
1993-04-04T05:55:00.000Z,81,0
1993-04-04T06:00:00.000Z,88,0
1993-04-04T06:05:00.000Z,80,-1
1993-04-04T06:10:00.000Z,76,-1
1993-04-04T06:15:00.000Z,83,-2
1993-04-04T06:20:00.000Z,97,-1
1993-04-04T06:25:00.000Z,111,-2
